Time_s,Signal_A,Signal_B
8.32,0.89336444,-0.26959968
8.33,0.88882652,-0.2749463
8.34,0.88419972,-0.28026542
8.35,0.8794845,-0.28555652
8.36,0.87468133,-0.29081906
8.37,0.86979069,-0.29605252
8.38,0.86481307,-0.30125638
8.39,0.85974898,-0.30643011
8.4,0.85459891,-0.31157319
8.41,0.84936338,-0.31668512
8.42,0.84404291,-0.32176538
8.43,0.83863804,-0.32681347
8.44,0.83314931,-0.33182887
8.45,0.82757727,-0.33681109
8.46,0.82192246,-0.34175963
8.47,0.81618547,-0.346674
8.48,0.81036686,-0.3515537
8.49,0.80446721,-0.35639824
8.5,0.79848711,-0.36120714
8.51,0.79242717,-0.36597992
8.52,0.78628799,-0.37071611
8.53,0.78007017,-0.37541522
8.54,0.77377435,-0.3800768
8.55,0.76740116,-0.38470036
8.56,0.76095122,-0.38928546
8.57,0.75442519,-0.39383162
8.58,0.74782372,-0.39833841
8.59,0.74114747,-0.40280536
8.6,0.7343971,-0.40723203
8.61,0.72757329,-0.41161798
8.62,0.72067673,-0.41596276
8.63,0.7137081,-0.42026595
8.64,0.7066681,-0.42452712
8.65,0.69955743,-0.42874583
8.66,0.69237681,-0.43292167
8.67,0.68512695,-0.43705421
8.68,0.67780858,-0.44114305
8.69,0.67042242,-0.44518778
8.7,0.66296923,-0.44918799
8.71,0.65544974,-0.45314328
8.72,0.64786471,-0.45705325
8.73,0.64021489,-0.46091752
8.74,0.63250104,-0.4647357
8.75,0.62472395,-0.46850741
8.76,0.61688439,-0.47223227
8.77,0.60898314,-0.4759099
8.78,0.60102099,-0.47953994
8.79,0.59299874,-0.48312203
8.8,0.58491719,-0.48665581
8.81,0.57677715,-0.49014092
8.82,0.56857943,-0.49357702
8.83,0.56032486,-0.49696376
8.84,0.55201425,-0.50030081
8.85,0.54364844,-0.50358782
8.86,0.53522827,-0.50682448
8.87,0.52675458,-0.51001045
8.88,0.51822821,-0.51314543
8.89,0.50965001,-0.51622909
8.9,0.50102086,-0.51926113
8.91,0.4923416,-0.52224124
8.92,0.48361311,-0.52516913
8.93,0.47483625,-0.5280445
8.94,0.46601192,-0.53086707
8.95,0.45714098,-0.53363655
8.96,0.44822433,-0.53635267
8.97,0.43926285,-0.53901515
8.98,0.43025745,-0.54162373
8.99,0.42120903,-0.54417815
9.0,0.41211849,-0.54667816
9.01,0.40298673,-0.54912349
9.02,0.39381467,-0.55151392
9.03,0.38460324,-0.55384919
9.04,0.37535334,-0.55612908
9.05,0.36606591,-0.55835336
9.06,0.35674187,-0.5605218
9.07,0.34738216,-0.56263419
9.08,0.33798771,-0.56469031
9.09,0.32855947,-0.56668997
9.1,0.31909836,-0.56863296
9.11,0.30960535,-0.57051909
9.12,0.30008138,-0.57234816
9.13,0.2905274,-0.57412
9.14,0.28094436,-0.57583443
9.15,0.27133323,-0.57749128
9.16,0.26169497,-0.57909038
9.17,0.25203054,-0.58063157
9.18,0.24234091,-0.58211469
9.19,0.23262704,-0.58353961
9.2,0.22288991,-0.58490617
9.21,0.2131305,-0.58621424
9.22,0.20334976,-0.5874637
9.23,0.1935487,-0.5886544
9.24,0.18372828,-0.58978624
9.25,0.17388949,-0.5908591
9.26,0.1640333,-0.59187288
9.27,0.15416072,-0.59282747
9.28,0.14427272,-0.59372278
9.29,0.13437029,-0.59455871
9.3,0.12445442,-0.5953352
9.31,0.11452611,-0.59605214
9.32,0.10458635,-0.59670949
9.33,0.09463613,-0.59730716
9.34,0.08467644,-0.5978451
9.35,0.07470829,-0.59832326
9.36,0.06473267,-0.59874158
9.37,0.05475057,-0.59910004
9.38,0.044763,-0.59939858
9.39,0.03477095,-0.59963718
9.4,0.02477543,-0.59981583
9.41,0.01477742,-0.59993448
9.42,0.00477794,-0.59999315
9.43,-0.00522202,-0.59999182
9.44,-0.01522145,-0.59993049
9.45,-0.02521937,-0.59980916
9.46,-0.03521476,-0.59962786
9.47,-0.04520663,-0.59938659
9.48,-0.05519398,-0.59908539
9.49,-0.06517581,-0.59872428
9.5,-0.07515112,-0.59830329
9.51,-0.08511892,-0.59782248
9.52,-0.0950782,-0.59728188
9.53,-0.10502798,-0.59668156
9.54,-0.11496726,-0.59602157
9.55,-0.12489504,-0.59530198
9.56,-0.13481033,-0.59452285
9.57,-0.14471214,-0.59368428
9.58,-0.15459947,-0.59278634
9.59,-0.16447135,-0.59182912
9.6,-0.17432678,-0.59081271
9.61,-0.18416478,-0.58973723
9.62,-0.19398436,-0.58860277
9.63,-0.20378454,-0.58740946
9.64,-0.21356435,-0.5861574
9.65,-0.2233228,-0.58484673
9.66,-0.23305892,-0.58347757
9.67,-0.24277173,-0.58205007
9.68,-0.25246026,-0.58056436
9.69,-0.26212355,-0.57902059
9.7,-0.27176063,-0.57741893
9.71,-0.28137053,-0.57575952
9.72,-0.29095229,-0.57404254
9.73,-0.30050496,-0.57226815
9.74,-0.31002758,-0.57043654
9.75,-0.31951919,-0.56854788
9.76,-0.32897886,-0.56660237
9.77,-0.33840562,-0.5646002
9.78,-0.34779855,-0.56254157
9.79,-0.3571567,-0.56042669
9.8,-0.36647913,-0.55825576
9.81,-0.37576491,-0.55602901
9.82,-0.38501312,-0.55374666
9.83,-0.39422283,-0.55140893
9.84,-0.40339311,-0.54901606
9.85,-0.41252306,-0.5465683
9.86,-0.42161175,-0.54406587
9.87,-0.43065828,-0.54150904
9.88,-0.43966175,-0.53889806
9.89,-0.44862125,-0.53623319
9.9,-0.45753589,-0.53351469
9.91,-0.46640478,-0.53074285
9.92,-0.47522703,-0.52791793
9.93,-0.48400175,-0.52504022
9.94,-0.49272808,-0.52211
9.95,-0.50140513,-0.51912758
9.96,-0.51003204,-0.51609324
9.97,-0.51860795,-0.5130073
9.98,-0.527132,-0.50987005
9.99,-0.53560333,-0.50668182
10.0,-0.54402111,-0.50344292
